2016-04-22 14:05:31,356 [736064984@qtp-445208196-0] INFO  [me.daoke.roadrank.intercepter.SignInterceptor] - sign:lu64o3ul5m
2016-04-22 14:05:31,359 [736064984@qtp-445208196-0] INFO  [me.daoke.roadrank.intercepter.SignInterceptor] - timestamp:lu64o3ul5m
2016-04-22 14:05:31,359 [736064984@qtp-445208196-0] INFO  [me.daoke.roadrank.intercepter.SignInterceptor] - token:lu64o3ul5m
2016-04-22 14:05:31,359 [736064984@qtp-445208196-0] INFO  [me.daoke.roadrank.intercepter.SignInterceptor] - appkey:3987311677
2016-04-22 14:05:31,359 [736064984@qtp-445208196-0] INFO  [me.daoke.roadrank.intercepter.SignInterceptor] - accountid:zMm6mlT7jM
2016-04-22 14:05:31,359 [736064984@qtp-445208196-0] INFO  [me.daoke.roadrank.intercepter.SignInterceptor] - Content-Length:391
2016-04-22 14:05:31,359 [736064984@qtp-445208196-0] INFO  [me.daoke.roadrank.intercepter.SignInterceptor] - Content-Type:application/x-www-form-urlencoded; charset=UTF-8
2016-04-22 14:05:31,359 [736064984@qtp-445208196-0] INFO  [me.daoke.roadrank.intercepter.SignInterceptor] - Host:localhost:8080
2016-04-22 14:05:31,359 [736064984@qtp-445208196-0] INFO  [me.daoke.roadrank.intercepter.SignInterceptor] - Connection:Keep-Alive
2016-04-22 14:05:31,359 [736064984@qtp-445208196-0] INFO  [me.daoke.roadrank.intercepter.SignInterceptor] - User-Agent:Apache-HttpClient/4.3.6 (java 1.5)
2016-04-22 14:05:31,359 [736064984@qtp-445208196-0] INFO  [me.daoke.roadrank.intercepter.SignInterceptor] - Accept-Encoding:gzip,deflate
